todo0,todo1,todo2,todo3,todo4,todo5,todo6,todo7,todo8,todo9
0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,1,1,1,1
0,0,1,0,1,0,1,0,1,0
0,0,1,1,0,1,0,1,0,1
0,1,0,0,1,1,0,0,1,1
0,1,0,1,0,0,1,1,0,0
0,1,1,0,0,1,1,0,0,1
0,1,1,1,1,0,0,1,1,0
1,0,0,0,1,1,1,0,0,0
1,0,0,1,0,0,0,1,1,1
1,0,1,0,0,1,0,0,1,0
1,0,1,1,1,0,1,1,0,1
1,1,0,0,0,0,1,0,1,1
1,1,0,1,1,1,0,1,0,0
1,1,1,0,1,0,0,0,0,1
1,1,1,1,0,1,1,1,1,0
0,0,0,0,1,0,0,1,0,1
0,0,0,1,0,1,1,0,1,0
0,0,1,0,0,0,1,1,1,1
0,0,1,1,1,1,0,0,0,0
0,1,0,0,0,1,0,1,1,0
0,1,0,1,1,0,1,0,0,1
0,1,1,0,1,1,1,1,0,0
0,1,1,1,0,0,0,0,1,1
1,0,0,0,0,1,1,1,0,1
1,0,0,1,1,0,0,0,1,0
1,0,1,0,1,1,0,1,1,1
1,0,1,1,0,0,1,0,0,0
1,1,0,0,1,0,1,1,1,0
1,1,0,1,0,1,0,0,0,1
1,1,1,0,0,0,0,1,0,0
1,1,1,1,1,1,1,0,1,1
0,0,0,0,0,1,0,1,0,0
0,0,0,1,1,0,1,0,1,1
0,0,1,0,1,1,1,1,1,0
0,0,1,1,0,0,0,0,0,1
0,1,0,0,1,0,0,1,1,1
0,1,0,1,0,1,1,0,0,0
0,1,1,0,0,0,1,1,0,1
0,1,1,1,1,1,0,0,1,0
1,0,0,0,1,0,1,1,0,0
1,0,0,1,0,1,0,0,1,1
1,0,1,0,0,0,0,1,1,0
1,0,1,1,1,1,1,0,0,1
1,1,0,0,0,1,1,1,1,1
1,1,0,1,1,0,0,0,0,0
1,1,1,0,1,1,0,1,0,1
1,1,1,1,0,0,1,0,1,0
0,0,0,0,1,1,0,0,0,1
0,0,0,1,0,0,1,1,1,0
0,0,1,0,0,1,1,0,1,1
0,0,1,1,1,0,0,1,0,0
0,1,0,0,0,0,0,0,1,0
0,1,0,1,1,1,1,1,0,1
0,1,1,0,1,0,1,0,0,0
0,1,1,1,0,1,0,1,1,1
1,0,0,0,0,0,1,0,0,1
1,0,0,1,1,1,0,1,1,0
1,0,1,0,1,0,0,0,1,1
1,0,1,1,0,1,1,1,0,0
1,1,0,0,1,1,1,0,1,0
1,1,0,1,0,0,0,1,0,1
1,1,1,0,0,1,0,0,0,0
1,1,1,1,1,0,1,1,1,1
0,0,0,0,0,1,1,0,0,1
0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,1,1,0,1
0,0,0,1,1,0,0,0,1,0
0,0,0,1,1,0,0,1,1,0
0,0,0,1,1,1,0,1,1,0
0,0,0,1,1,0,0,0,1,0
0,1,1,0,0,0,0,1,0,0
0,1,1,0,0,1,0,0,0,0
0,1,1,0,0,0,0,0,0,0
0,1,1,0,0,1,0,1,0,0
0,1,1,1,1,0,1,0,1,1
0,1,1,1,1,1,1,0,1,1
0,1,1,1,1,0,1,0,1,1
0,1,1,1,1,1,1,0,1,1
1,0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,1,0,0
1,0,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0
1,0,0,1,1,0,1,1,1,1
1,0,0,1,1,1,1,0,1,1
1,0,0,1,1,0,1,0,1,1
1,0,0,1,1,1,1,0,1,1
1,1,1,0,0,1,1,0,0,1
1,1,1,0,0,0,1,1,0,1
1,1,1,0,0,1,1,0,0,1
1,1,1,0,0,0,1,1,0,1
1,1,1,1,1,1,0,0,1,0
1,1,1,1,1,1,0,0,1,0
1,1,1,1,1,0,0,0,1,0
1,1,1,1,1,0,0,0,1,0
1,0,0,0,0,0,0,0,1,1
0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,1,1
1,0,0,1,0,1,0,0,0,0
1,0,0,1,0,1,0,0,0,0
1,0,0,1,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0
1,0,1,0,0,0,1,1,0,0
0,0,1,0,0,1,1,1,0,0
1,0,1,0,0,1,1,0,0,0
1,0,1,0,0,0,1,1,0,0
1,0,1,1,0,1,1,1,1,1
1,0,1,1,0,1,1,0,1,1
0,0,1,1,0,0,1,0,1,1
1,0,1,1,0,0,1,1,1,1
1,1,0,0,1,1,0,1,0,0
0,1,0,0,1,0,0,1,0,0
1,1,0,0,1,1,0,1,0,0
0,1,0,0,1,1,0,1,0,0
0,1,0,1,1,1,0,0,1,1
0,1,0,1,1,1,0,0,1,1
1,1,0,1,1,0,0,1,1,1
0,1,0,1,1,1,0,0,1,1
1,1,1,0,1,1,1,0,1,1
1,1,1,0,1,1,1,1,1,1
0,1,1,0,1,1,1,1,1,1
0,1,1,0,1,0,1,0,1,1
1,1,1,1,1,0,1,1,0,0
0,1,1,1,1,1,1,0,0,0
0,1,1,1,1,0,1,1,0,0
0,1,1,1,1,0,1,0,0,0
