(16,17,18,),(1,0,1,) (16,18,23,),(1,1,1,) 1
(16,18,29,),(1,1,0,) (3,18,22,),(0,1,1,) 1
(1,12,15,),(0,1,0,) (1,15,26,),(0,0,0,) 1
(4,9,10,),(0,1,0,) (9,10,21,),(1,0,1,) 1
(10,16,18,),(1,1,1,) (14,16,18,),(1,1,1,) 1
(11,18,28,),(1,1,1,) (11,14,18,),(1,0,1,) 1
(0,1,24,),(1,0,1,) (0,1,20,),(1,0,0,) 1
(6,16,18,),(0,1,1,) (0,16,18,),(1,1,1,) 1
(15,17,18,),(0,0,1,) (15,18,20,),(0,1,1,) 1
(1,15,16,),(0,0,0,) (1,15,20,),(0,0,1,) 1
(4,9,23,),(0,1,0,) (3,4,9,),(0,0,1,) 1
(9,13,26,),(1,1,0,) (9,13,24,),(1,1,0,) 1
(8,16,18,),(1,1,1,) (1,16,18,),(1,1,1,) 0
(3,16,29,),(0,1,1,) (3,4,16,),(0,0,1,) 1
(13,16,18,),(1,1,1,) (13,18,29,),(1,1,1,) 1
(16,18,20,),(1,1,1,) (15,16,18,),(1,1,1,) 1
(11,13,18,),(1,1,1,) (6,11,18,),(1,1,1,) 1
(1,15,25,),(0,0,1,) (1,15,21,),(0,0,1,) 1
(1,15,29,),(0,0,0,) (1,7,15,),(0,0,0,) 1
(1,15,21,),(0,0,0,) (1,15,25,),(0,0,0,) 1
(1,9,13,),(0,1,1,) (9,13,20,),(1,1,1,) 1
(0,9,12,),(1,1,1,) (9,11,12,),(1,1,1,) 1
(9,17,18,),(1,0,1,) (9,15,18,),(1,1,1,) 1
(3,26,29,),(0,1,1,) (3,12,29,),(0,0,1,) 1
(1,7,15,),(0,1,0,) (1,15,29,),(0,0,1,) 1
(4,12,21,),(0,0,1,) (4,21,22,),(0,1,0,) 1
(11,18,24,),(1,1,1,) (8,11,18,),(1,1,1,) 1
(1,4,5,),(0,0,0,) (1,4,23,),(0,0,0,) 1
(3,5,19,),(0,0,1,) (5,7,19,),(0,0,1,) 1
(8,11,18,),(0,1,1,) (11,18,24,),(1,1,0,) 1
(12,15,26,),(1,0,1,) (1,12,26,),(1,1,1,) 1
(1,15,20,),(0,0,0,) (1,15,16,),(0,0,1,) 1
(15,16,18,),(0,1,1,) (16,18,20,),(1,1,0,) 1
(10,11,22,),(0,1,0,) (10,11,13,),(0,1,1,) 1
(9,20,28,),(1,1,1,) (9,16,20,),(1,0,1,) 1
(9,16,20,),(1,1,1,) (9,20,28,),(1,1,0,) 1
(1,9,16,),(0,1,0,) (1,9,25,),(0,1,1,) 1
(8,16,18,),(0,1,1,) (1,16,18,),(0,1,1,) 0
(0,9,26,),(1,1,0,) (9,26,28,),(1,0,0,) 0
(0,9,19,),(0,1,1,) (9,11,19,),(1,0,1,) 1
(3,15,29,),(0,1,1,) (3,17,29,),(0,0,1,) 1
(3,25,29,),(0,1,1,) (3,17,29,),(0,0,1,) 1
(3,4,17,),(0,0,0,) (3,4,15,),(0,0,1,) 1
(0,16,18,),(0,1,1,) (6,16,18,),(1,1,1,) 1
(13,18,29,),(1,1,0,) (13,16,18,),(1,0,1,) 1
(1,15,26,),(0,0,1,) (1,12,15,),(0,0,0,) 1
(14,16,18,),(0,1,1,) (10,16,18,),(0,1,1,) 1
(1,25,26,),(0,1,1,) (22,25,26,),(0,1,1,) 1
(7,9,15,),(0,1,1,) (1,7,9,),(0,0,1,) 1
(6,11,18,),(0,1,1,) (11,13,18,),(1,0,1,) 1
(22,25,26,),(1,1,1,) (1,25,26,),(1,1,1,) 1
(3,17,29,),(0,1,1,) (3,25,29,),(0,0,1,) 1
(3,17,29,),(0,1,1,) (3,15,29,),(0,0,1,) 1
(23,24,28,),(1,0,1,) (0,23,24,),(0,1,0,) 1
(9,26,28,),(1,0,1,) (0,9,26,),(0,1,0,) 0
(4,12,18,),(0,0,1,) (4,18,22,),(0,1,0,) 1
(8,9,19,),(1,1,1,) (8,9,14,),(1,1,1,) 1
(9,15,18,),(1,0,1,) (9,17,18,),(1,1,1,) 1
(4,18,22,),(0,1,1,) (4,12,18,),(0,1,1,) 1
(1,21,25,),(0,0,1,) (15,21,25,),(1,0,1,) 1
(11,14,18,),(1,1,1,) (11,18,28,),(1,1,0,) 1
(16,18,23,),(1,1,0,) (16,17,18,),(1,1,1,) 1
(1,4,23,),(0,0,1,) (1,4,5,),(0,0,1,) 1
(3,4,15,),(0,0,0,) (3,4,17,),(0,0,1,) 1
(9,11,19,),(1,1,1,) (0,9,19,),(1,1,1,) 1
(1,9,25,),(0,1,0,) (1,9,16,),(0,1,1,) 1
(8,9,14,),(1,1,0,) (8,9,19,),(1,1,0,) 1
(9,11,12,),(1,0,1,) (0,9,12,),(0,1,1,) 1
(9,13,20,),(1,1,0,) (1,9,13,),(1,1,1,) 1
(3,12,29,),(0,1,1,) (3,26,29,),(0,0,1,) 1
(1,2,3,),(0,1,0,) (1,2,17,),(0,1,0,) 1
(1,14,21,),(0,0,1,) (1,19,21,),(0,0,1,) 1
(9,13,24,),(1,1,1,) (9,13,26,),(1,1,1,) 1
(1,12,26,),(0,1,1,) (12,15,26,),(1,1,1,) 1
(1,19,21,),(0,1,1,) (1,14,21,),(0,1,1,) 1
(3,4,9,),(1,0,1,) (4,9,23,),(0,1,1,) 1
(5,7,19,),(0,1,1,) (3,5,19,),(1,0,1,) 1
(1,2,17,),(0,1,1,) (1,2,3,),(0,1,1,) 1
(0,1,20,),(1,0,1,) (0,1,24,),(1,0,0,) 1
(10,11,13,),(0,1,0,) (10,11,22,),(0,1,1,) 1
(9,10,21,),(1,0,0,) (4,9,10,),(1,1,0,) 1
(15,21,25,),(0,0,1,) (1,21,25,),(1,0,1,) 1
(4,21,22,),(0,1,1,) (4,12,21,),(0,1,1,) 1
(7,26,28,),(1,1,0,) (0,7,28,),(0,1,0,) 1
(1,7,9,),(1,0,1,) (7,9,15,),(0,1,0,) 1
(0,23,24,),(1,1,0,) (23,24,28,),(1,0,0,) 1
(0,7,28,),(1,1,0,) (7,26,28,),(1,0,0,) 1
(3,4,16,),(0,1,1,) (3,16,29,),(0,1,0,) 1
(15,18,20,),(0,1,0,) (15,17,18,),(0,1,1,) 1
